"","year","mun","trat","pto","rs","value","q_minwages"
"420",2006,"Villamar",0,0,"rs_w1",20,1
"421",2006,"Ixtlan",0,0,"rs_w1",0,1
"422",2006,"Marcos Castellanos",0,0,"rs_w1",20,1
"423",2006,"Hidalgo",1,0,"rs_w1",192,1
"424",2006,"Jungapeo",1,0,"rs_w1",0,1
"425",2006,"Zitacuaro",1,0,"rs_w1",562,1
"426",2006,"Angangueo",0,0,"rs_w1",60,1
"427",2006,"Tlalpujahua",0,0,"rs_w1",119,1
"428",2006,"Ocampo",1,0,"rs_w1",4,1
"429",2006,"Maravatio",0,0,"rs_w1",98,1
"430",2006,"Contepec",0,0,"rs_w1",46,1
"431",2006,"Huetamo",0,0,"rs_w1",67,1
"432",2006,"San Lucas",0,0,"rs_w1",39,1
"433",2006,"Irimbo",0,0,"rs_w1",0,1
"434",2006,"Aporo",0,0,"rs_w1",18,1
"435",2006,"Tuxpan",1,0,"rs_w1",285,1
"436",2006,"Senguio",0,0,"rs_w1",26,1
"437",2006,"Tiquicheo",0,0,"rs_w1",20,1
"438",2006,"Tuzantla",0,0,"rs_w1",20,1
"439",2006,"Juarez",1,0,"rs_w1",0,1
"440",2006,"Lazaro Cardenas",0,0,"rs_w1",756,1
"441",2006,"Susupuato",0,0,"rs_w1",0,1
"442",2007,"Coahuayana",0,0,"rs_w1",34,1
"443",2007,"Aquila",0,0,"rs_w1",35,1
"444",2007,"Morelia",0,0,"rs_w1",10996,1
"445",2007,"Nocupetaro",0,0,"rs_w1",22,1
"446",2007,"Patzcuaro",1,0,"rs_w1",365,1
"447",2007,"Quiroga",1,0,"rs_w1",124,1
"448",2007,"Tacambaro",1,0,"rs_w1",467,1
"449",2007,"Turicato",1,0,"rs_w1",85,1
"450",2007,"Zacapu",0,0,"rs_w1",595,1
"451",2007,"Tarimbaro",1,0,"rs_w1",285,1
"452",2007,"Acuitzio",1,0,"rs_w1",50,1
"453",2007,"Ario",1,0,"rs_w1",150,1
"454",2007,"Erongaricuaro",1,0,"rs_w1",22,1
"455",2007,"La Huacana",0,0,"rs_w1",41,1
"456",2007,"Huiramba",1,0,"rs_w1",22,1
"457",2007,"Lagunillas",1,0,"rs_w1",56,1
"458",2007,"Madero",1,0,"rs_w1",124,1
"459",2007,"Salvador Escalante",1,0,"rs_w1",199,1
"460",2007,"Tzintzuntzan",1,0,"rs_w1",21,1
"461",2007,"Angamacutiro",0,0,"rs_w1",22,1
"462",2007,"Jose Sixto Verduzco",0,0,"rs_w1",22,1
"463",2007,"Morelos",0,0,"rs_w1",22,1
"464",2007,"Panindicuaro",0,0,"rs_w1",22,1
"465",2007,"Puruandiro",0,0,"rs_w1",186,1
"466",2007,"Churumuco",0,0,"rs_w1",22,1
"467",2007,"Zinapecuaro",1,0,"rs_w1",39,1
"468",2007,"Querendaro",0,0,"rs_w1",72,1
"469",2007,"Indaparapeo",0,0,"rs_w1",20,1
"470",2007,"Charo",0,0,"rs_w1",24,1
"471",2007,"Alvaro Obregon",0,0,"rs_w1",91,1
"472",2007,"Coeneo",0,0,"rs_w1",45,1
"473",2007,"Jimenez",0,0,"rs_w1",46,1
"474",2007,"Huaniqueo",0,0,"rs_w1",34,1
